Date and time of Verification,Supply,State,District/City,Name of vendor,Contact details,"Preferred mode of contact (voice call, whatsapp, etc)",Links,Misc Data ,"Status (out of stock, working number)"
3rd may. 10:06 pm,Covid Control Room,Manipur,Senapati,,8837043792,,,English,
3rd may. 10:06 pm,Covid Control Room,Manipur,Jiribam,,7085344776,,,"English, Hindi",
13-05-2021,Covid Control Room,Manipur,,Control room,1800-345-3818,,,,
13-05-2021 ,Covid Control Room,Manipur,,Control room,0385-2411668,,,,
13-05-2021 ,Covid Control Room,Manipur,,Control room,0385-2441226,,,,
13-05-2021,Covid Control Room,Manipur,,Home isolation ,0385-2441225,,,,
13-05-2021,Covid Control Room,Manipur,,Home isolation ,0385-2441230,,,,
13-05-2021,Covid Control Room,Manipur,,Home isolation ,0385-2441231,,,,
13-05-2021,Covid Control Room,Manipur,,Home isolation ,0385-2441235,,,,
13-05-2021 ,Covid Control Room,Manipur,,Covid admission,0385-2441228,,,,
13-05-2021 ,Covid Control Room,Manipur,,Non Covid admission,1800-103-2015,,,,
14-05-2021 ,Covid Control Room,Manipur,,E Sanjeevani OPD,0385-2441233,,,,
14-05-2021,Covid Control Room,Manipur,,COVID monitoring cell,0385-2441237,,,,
14-05-2021,Covid Control Room,Manipur,,State IDSP Team,0385-2441234,,,,
14-05-2021,Covid Control Room,Manipur,,State IDSP Team,0385-2441227,,,,
14-05-2021,Covid Control Room,Manipur,,State IDSP Team,0385-2441229,,,,
26/06/2021,Hospitals,Manipur,"Lamphelpat, Imphal, Manipur",RIMS Government Hospital,9394259843 (Dr. Ranbir),,,,
26/06/2022,Hospitals,Manipur,"Lamphelpat, Imphal, Manipur",RIMS Government Hospital,,,,,
26/06/2023,Hospitals,Manipur,"Porompat, Manipur",JNIMS Government Hospital,8258919544 (Dr. Lokeshwar),,,,
26/06/2024,Hospitals,Manipur,"Porompat, Manipur",JNIMS Government Hospital,,,,,
26/06/2025,Hospitals,Manipur,"Meitei Langol, Lamphelpat, Imphal, Manipur",Shija Hospital Private Hospital,9436807346,,,,
26/06/2026,Hospitals,Manipur,"Meitei Langol, Lamphelpat, Imphal, Manipur",Shija Hospital Private Hospital,,,,,
26/06/2027,Hospitals,Manipur,"North A.O.C, Imphal, Manipur",Raj Medicity Private Hospital,9366486020,,,,
26/06/2028,Hospitals,Manipur,"North A.O.C, Imphal, Manipur",Raj Medicity Private Hospital,,,,,
26/06/2029,Hospitals,Manipur,"Sajiwa, Imphal, Manipur",American Oncology Institute by Babina Speciality Hospital Private Hospital,0385-3500400,,,,
26/06/2030,Hospitals,Manipur,"Sajiwa, Imphal, Manipur",American Oncology Institute by Babina Speciality Hospital Private Hospital,,,,,
26/06/2031,Hospitals,Manipur,"Chandel Christian Village, Chandel, Manipur ","District Hospital, Chandel",,,,,
26/06/2032,Hospitals,Manipur,"IB Road, Churachandpur, Manipur ","District Hospital, Churachandpur",,,,,
26/06/2033,Hospitals,Manipur,"District Hospital Campus, Senapati, Manipur ","District Hospital, Senapati",,,,,
26/06/2034,Hospitals,Manipur,"Khangabok , Near Basu Ground Thoubal, Manipur","District Hospital, Thoubal",,,,,
26/06/2035,Hospitals,Manipur,"Khangabok , Near Basu Ground Thoubal, Manipur","District Hospital, Thoubal",,,,,
26/06/2036,Hospitals,Manipur,"Naga Gate, Ukhrul, Manipur ","District Hospital, Ukhrul",,,,,
26/06/2037,Hospitals,Manipur,"Naga Gate, Ukhrul, Manipur ","Sub-District Hospital, Moreh",,,,,
26/06/2038,Hospitals,Manipur,"Kakching, Thoubal, Manipur ",CHC Kakching,,,,,
26/06/2039,Hospitals,Manipur,"Kamjong Baptist Church, Kamjong, Manipur ",CHC Kamjong,,,,,
26/06/2040,Hospitals,Manipur,"Lamboi Khongnangkhong, Imphal, manipur",CCC Lamboi Khongnangkhong,9863668113,,,,
26/06/2041,Hospitals,Manipur,"Bal Bhawan, Khuman Lampak, Imphal, Manipur",CCC Bal Bhavan,9863514338,,,,
26/06/2042,Hospitals,Manipur,"NSU hall, Khuman Lampak, Imphal, Manipur",CCC National Sport University ,9366709133,,,,
26/06/2043,Hospitals,Manipur,"RD Wing Complex Lamphelpat, Imphal West, Manipur",CCC RD Wing,Imphal West Admission Committee,,,,
26/06/2044,Hospitals,Manipur,"Covid Care Centre, Bishnupur(Old Mini-Secretariat), Manipur ",CCC Bishnupur,,,,,
26/06/2045,Hospitals,Manipur,"Lanva TD Block Complex, Lingsiphai, Churachandpur, Manipur","CCC Lanva TD Block, CCpur",,,,,
26/06/2046,Hospitals,Manipur,,"CCC Government College, CCpur",,,,,
26/06/2047,Hospitals,Manipur,"Model School, Harinagar, Jiribam, Manipur ",CCC Jiribam,,,,,
26/06/2048,Hospitals,Manipur,"Tamenglong Higher Secondary School, Manipur ",CCC Tamnglong,,,,,
26/06/2049,Hospitals,Manipur,"GNM School of Nursing, Thoubal Manipur ","CCC GNM Hostel, Thoubal",,,,,
26/06/2050,Hospitals,Manipur,"Kakching Higher Secondary School,  Kakching Bazaar, Kakching, Mannipur ",CCC Kakching Hr.Sec School ,,,,,
26/06/2051,Hospitals,Manipur,,"CCC Transit Hostel, Ukhrul",,,,,
26/06/2052,Hospitals,Manipur,,"CCC TH Tengkhongjang, Noney",,,,,
26/06/2053,Hospitals,Manipur,"Centre, Leikop, Kangpokpi, Manipur ",CCC DIET Kangpokpi,,,,,
26/06/2054,Hospitals,Manipur,"Little Flower School, Tiddim Road, Imphal West, Manipur",MSF- India Covid-19 Treatment Centre,9311225263,,,,
Na,Oxygen Cylinder,Odisha,Cuttack,Deluxe Industrial Gases,9238312164,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Cuttack,Pradeep Oxygen,9238445615,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Behrampur,Kalinga Oxygen,9937848742,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Bhubaneswar,Anand Industrial Gases,9937000587,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Cuttack,Sikh Aid,9040475426,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Bhubaneswar,Satbir Arora,8018008021,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Berhampur,Gayatri Oxygen,9238648958,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Sambalpur,Sn Gas,9861313680,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Cuttack,Paradeep Oxygen,9238445615,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Bhubaneswar,Medro Medical System,9887120209,Whatsapp & Call,Na,Na,Na
Na,Oxygen Cylinder,Odisha,Bhubaneswar,Prasant Services,7947437929,Whatsapp & Call,Na,Na,Na
Na,Oxygen Refill,Odisha,Multiple Cities,Hindustan Gases And Welding,8048010784,Na,Na,Out Of Stock,Number Valid - Stock Over
Na,Oxygen Refill,Odisha,Bhubaneswar,Deluxe Industrial Gases,9238312164,Na,Na,Number Verified & Working,Number Valid - Stock Over
Na,Oxygen Refill,Odisha,Bhubaneswar,Agarwal Enterprises,7971270418,Na,Na,Na,Number Valid - Stock Over
Na,Oxygen Refill,Odisha,Multiple Cities,Paradeep Oxygen Private Limited,9238445610,Na,Na,9238445610 Is The Correct Number. Stock Is Over,Number Valid - Stock Over
Na,Oxygen Refill,Odisha,Bhubaneswar,Anand Industrial Gasses Pvt. Ltd.,9937000587,Na,Na,J. Mahapatra,Number Valid 
Na,Oxygen Refill,Odisha,Sambalpur Dist,S N Gases,9861313680,Na,Na,Ajay Kumar Agarwal,Number Valid
2 July,Home RTPCR,Odisha,Bhubneshwar,IMS & SUM,9437383025,WhatsApp & Call,Na,Kundan Sahoo,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,In DNA,8056160598,WhatsApp & Call,Na,Amit Roy Choudhary,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,GENX,8208923610/9861716441,WhatsApp & Call,Na,Ajay Kumar Maharana,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,AMRI,9437088129,WhatsApp & Call,Na,Dr.bibhudutta,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,Shree Hospital,9861446654,WhatsApp & Call,Na,Santosh Kumar Behera,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,Care,9438485806,WhatsApp & Call,Na,Subhashree,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,Hitech,9090952401,WhatsApp & Call,Na,Jyotirmaya Panda,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,KIIMS,9438237292,WhatsApp & Call,Na,Dr. Deepti,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,Apollo,8093060264,WhatsApp & Call,Na,Padmanav Dalabehera,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,Redcliffe Life Sciences,9556919583,WhatsApp & Call,Na,Na,Verified
2 July,Home RTPCR,Odisha,Bhubneshwar,ZeusnJove Diagnostic LLP,8114918807,WhatsApp & Call,Na,Mr.subhranshu Sekhar Biswal,Verified
June 2,Ambulance,Odisha,Pan Odisha,Ashribad,9861577871,Na,Na,Pan Odisha,Verified
June 2,Ambulance,Odisha,Pan Odisha,Sumitra,9937255912,Na,Na,Pan Odisha,Verified
June 2,Ambulance,Odisha,Pan Odisha,Sri Sai,7947468344,Na,Na,Pan Odisha,Verified
June 2,Ambulance,Odisha,Pan Odisha,Jay Bajranbali,7947287391,Na,Na,Pan Odisha,Verified
June 2,Ambulance,Odisha,Pan Odisha,Basanti Trust,9437164399,Na,Na,Pan Odisha,Verified
June 2,Ambulance,Odisha,Pan Odisha,Ambulance Bandhu,9853792726,Na,Na,Pan Odisha,Verified
June 2,Ambulance,Odisha,Pan Odisha,Jitendra Nayak,8249139605,Na,Na,Pan Odisha,Verified
June 2,Food Service,Odisha,Bhubaneswar,Happy Eats,9178454444,Na,Na,Na,Verified
June 2,Food Service,Odisha,Bhubaneswar,Narula's,9776000009,Na,Na,Na,Verified
June 2,Food Service,Odisha,Bhubaneswar,Patiala House,9090880099,Na,Na,Na,Verified
June 2,Food Service,Odisha,Bhubaneswar,House Of Relish,8338811333,Na,Na,Na,Verified
June 2,Food Service,Odisha,Bhubaneswar,Bhaiya Ji,7325988720,Na,Na,Na,Verified
June 2,Food Service,Odisha,Cuttack,Swapno Foundation,"8270631628, 7978186595",Na,Na,Na,Verified
June 2,Food Service,Odisha,Bhubaneswar,KZSVS,"6371711761, 9437091958",Na,Na,Na,Verified
June 2,Food Service,Odisha,Bhubaneswar,Asha Kiran,"7847991558, 9040410688",Na,Na,Na,Verified
NA,Oxygen Concentrator,Andhra Pradesh,Vishakhapatnam,NA,7093529212,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,"Vijayawada, Guru nanak nagar",Guru Gobind Singh Foundation,9393431313,NA,NA,5Ltrs Concentrator For free,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizag,NA,9391790508,NA,NA,45K per Concentrator,NA
NA,Oxygen Concentrator,Andhra Pradesh,Kakinada / Rajahmundry / Pithapuram / Peddapuram / Samalkot / Jaggampeta,Svvam SUPPLIES,9533704754,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada ,Mehul,8919706532,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,Our Health,9441616189 / 7799722166,NA,www.ourhealthhomecare.com,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizag,K. Praveen Kumar,9849594222 / 9494487269,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakhapatnam,Khushal Kundalia,8179612164,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Kakinada ,NA,9177775777,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Nellore,NA,9392632463,NA,NA,7Ltr and 5Ltrs ,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,NA,9177849999,NA,NA,"5Ltrs Costs 1,10000",NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizag,NA,9849594222,NA,NA,7Ltrs Costs 75K,NA
NA,Oxygen Concentrator,Andhra Pradesh,Visakhapatnam,NA,9948152661,NA,NA,45Ltrs available without eduipment 28K,NA
NA,Oxygen Concentrator,Andhra Pradesh,Kakinada,NA,9533704754,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizag,Roby,9908555744,NA,NA,5Ltrs 78400 ( Including GST),NA
NA,Oxygen Concentrator,Andhra Pradesh,Andhra Pradesh,Ahmed,8096334455,NA,NA,5Ltrs costs 95k & 10Ltrs Costs 1.5L,NA
NA,Oxygen Concentrator,Andhra Pradesh,"Visakhapatnam, Vizag",Satya Distributors ,9701841814,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizag,NA,9885221812,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizag,Praveen,9849594222,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Visakhapatnam,Vinay,8500018516,NA,NA,Jumao Oxygen,NA
NA,Oxygen Concentrator,Andhra Pradesh,"All over AP (Vizag, Kakinada, Rajahmundry)",VE Group,9533564496 / 6301453580,NA,NA,All over AP they can Supply ( 5Ltrs Medical Graded,NA
NA,Oxygen Concentrator,Andhra Pradesh,Viskhapatnam,Mercury Agencies,9160623999,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakhapatnam,Arunachala Shiva,7995115557,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakhapatnam,Arya,9032325999,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakhapatnam,Srinivas Medi Store,8008899960,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizag,Rk HSBC,7995115557,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizag,NA,9100348588,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Visakhapatnam,NA,8332054447,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Visakhapatnam,NA,6302309138,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Visakhapatnam,Vicky,9848570379,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,"Vizag, Allipuram",Vidya Sagar,9493000138,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,"Vijayawada, Guntur",NA,9985012367,NA,NA,5Ltrs stock available,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,Shri Dhamini Enterprises,8885576675,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,"Ongole, Nellore, Kadapa, Vijayawada, Kurnool, Anantapur",NA,7947350654,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,NA,9441616189,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,Sri Life Sciences,9849241112,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,AK Health Care,7947350654,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,Vinod,9652349470,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,Raju,9014313468,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakhapatnam,Krishna supplies,9502730495 / 9000442291,NA,NA,5Ltrs Stock,NA
NA,Oxygen Concentrator,Andhra Pradesh,"Vijayawada, Guntur",NA,9985012367,NA,NA,5Ltrs Stock,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakapatnam,Breath Of Life,9581976692 / 8688219746,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,"East Godavari, Pitapuram",Arudhra Mobiles,9177775777,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,Annapurna Medicals,8712912987 / 9849122274,NA,NA,Available 1day after Booking,NA
NA,Oxygen Concentrator,Andhra Pradesh,Kakinada,Karneedi Agencies,9563886666,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Kakinada,Lion Club,9030966826,NA,NA,Free ,NA
NA,Oxygen Concentrator,Andhra Pradesh,Rajahmundry,Amaravathi Speciality Services,9441831977,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,NA,7799722166,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakapatnam,Aryan,9032325999,NA,NA,5Ltrs ,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,Dwarka Services,9676995777,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakapatnam,NA,9966668315,NA,NA,"7Ltrs Rs-72,000/-",NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakapatnam,NA,9032325999,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakapatnam,RK HSBC Concentrator,7995115557,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Kakinada,Surya,9533704754,NA,NA,"7Ltrs Rs- 70,000/- & 9Ltrs Rs- 99,000/-",NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizianagaram,Jain Service (Ashok),9390181920,NA,NA,10Ltrs Capacity Available,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizianagaram,Jain Service (Ankit),9553655228,NA,NA,10Ltrs Capacity Available,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakapatnam,NA,9032325999,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Nellore,Rohith,9392632463,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,Mr. Hanumantha Rao B,8919523692,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakapatnam,NA,9701841814,NA,NA,Rent & Sale,NA
NA,Oxygen Concentrator,Andhra Pradesh,Tirupati,Shankar,7032211104,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vishakapatnam,Sashi,7337295286,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Ananthapur,NA,7069999961,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vizag,Bhupender Singh,9390006300 / 8008006300,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,all over India,NA,9667467849 / 8810644603,NA,NA,5LPM,NA
NA,Oxygen Concentrator,Andhra Pradesh,"Peddaalli, Vidyarthi Pragna, Welfare Society ",NA,9494980011,NA,NA,NA,NA
NA,Oxygen Concentrator,Andhra Pradesh,Vijayawada,NA,8151618585,NA,NA,Free Supply,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,Guru Gobind Singh Foundation,9393431313,NA,NA,47Ltrs Cylinders,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Vizag, Vishakapatnam, Opp Pantaloons, VIP Road",Avinash,7036643945,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizag,Bharati,9702051293,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizag,Komal Jagdish,9985080544,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizag,Kumar Babu,9393391991,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizag,Mahesh ,7032574882,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizag,Sukhadev,9346640163,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizag,Technomed,9966012368,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,NA,9014313468,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Rajahmundry,NA,8101010155,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,NA,9676995777,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Vijayawada, Guntur, Devi Nagar",NA,8712912987 / 9989153803 / 9849122274,NA,NA,"Advance 10000/-, Rent Per Day 700/-, Refilling 300/- per Cylinder, Masks Pipe  250/-, Transport 500.",NA
NA,Oxygen Cylinder,Andhra Pradesh,"Vijayawada, Vizag",Moray Smart Solutions,9966888824 / 9885329996,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Visakhapatnam, Vizianagaram, Srikakulam",NGO ,7207275232 / 8341443811,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Visakhapatnam, Vizag",Hello Vizag,9849114291,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Tirupathi,Shankar,7032211104,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Vijayawada, Gudivada",Minority Hakkula Parirakshana samiti,9849009319 / 9100830860 / 9030207165 / 9700717159,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,Raju,9014313468,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Rajahmundry,NA,9573148941,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Visakhapatnam, Vizag",Humanity Services,7702282698,NA,NA,Avaliable for Rent,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizag,Mr. Naidu,9247871397,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizag,Durga,9502299197,NA,NA,"Rent 3000/- per day, Sale- 45000/- for 40Ltrs",NA
NA,Oxygen Cylinder,Andhra Pradesh,"Vizag, VIP Road",RPK Pharma,7093529212,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Visakhapatnam, Nowroji Rd, Port Officers Quarters, Maharaani peta",Siva Medical Gases,9848192392,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada and Eluru,Balaraju,9014313468,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,NA,8919523692,NA,NA,45 Ltrs Avaliable ( 20k deposit + 3k for refilling + per day 1k rent,NA
NA,Oxygen Cylinder,Andhra Pradesh,Viziangram,Seven Hills,9059090613,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,NA,9700717159,NA,NA,"45Ltrs available at free of Cost, If patient can afford they need to pay the Refilling Cost But the Cylinder Should be returned in 10hrs.",NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,NA,9533322272,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Rajamundry,NA,8101010155,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Kadapa,Pushpak Agencies,9848479051,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Kakinada,"Svvam Covid Essentials, Surya",9533704754,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Kakinada,Narasimha,9849727656,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Kakinada,Naveen,9000691693,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Kadapa,NA,8309704128,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Kadapa,NA,9121545310 / 6281633023,NA,NA,Free cylinders available,NA
NA,Oxygen Cylinder,Andhra Pradesh,Kadapa,"ANS Enterprises, Fakhruddin",9391492989,NA,NA,"Cylinder, and sale, Refilling Avaliable",NA
NA,Oxygen Cylinder,Andhra Pradesh,Rajahmundry,NA,8101010155,NA,NA,10Ltrs Cylinder 22000/-,NA
NA,Oxygen Cylinder,Andhra Pradesh,Rajahmundry,Amaravathi Speciality Services,9441831977,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,Dwarka Service,9676995777,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Guntur,Suraksha Oxy,9885450008 / 7013621795,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vishakapatnam,Harsha,7661996656,NA,NA,"46Ltrs at 50,000/- Home devlivery and Refilling also Available",NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,Insta Oxygen,9676995777,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vishakapatnam,"Vizag, Allipuram",9966012368,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Viziangram,Aadari Nagesh,9505511108,NA,NA,Free Cylinders will be given to the Hospitals where the Patient is stationed at.,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vishakapatnam,Devara Shiva Yadav,9963924192,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Rajahmundry,NA,8819856789,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Allipuram, Vizag",Vidya Sagar,9493000138,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,NA,9676995777,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Kakinada,Surya,9533704754,NA,NA,"7Ltrs Rs- 70,000/- & 9Ltrs Rs- 99,000/-",NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizianagaram,Rotary Club (GS Gupta / KRK Raju),9849988173 / 9949092425,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizianagaram,Sriram Group (Jagdish / Krishna),9885396462 / 9030903493,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vizianagaram,Puvvada Trust ( Srihari / Vardhan),9849979729 / 9440011823,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,NA,9676995777,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Rajahmundry,NA,8819856789,NA,NA,For Sale,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,Shakthi Gas Agency,8332854179,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Khammam,Oxygen Industry,8125886088,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,khammam,Sri Katyayani Oxy,9030212259,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,khammam,NA,9440108943,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Ananthapur,NA,7069999961,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Panvel,NA,9321801272,NA,NA,"7Ltrs Rs.5000/- to 15LtrsRs. 10,000/-",NA
NA,Oxygen Cylinder,Andhra Pradesh,Panvel,NA,9029585863,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Kurnool, Kadapa",NA,7569600800,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,"Bradipatnam 2/7, Guntur",NA,9490300913 / 9490300859,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Prakasham District,Chiranjeevi Oxy Banks,9885927691,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Karimnagar,Chiranjeevi Oxy Banks,9393244442,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Nellore,Chiranjeevi Oxy Banks,9985995995,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Mancherial,Chiranjeevi Oxy Banks,7799505505,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Bhadrachalam,Chiranjeevi Oxy Banks,9000441444 / 8374947473 / 7330779297 / 9888895678 / 9888896789,NA,NA,NA,NA
NA,Oxygen Cylinder,Andhra Pradesh,Vijayawada,NA,9014313468,NA,NA,NA,NA
